source	local_name	bytes	sha256	in_pass1_450	in_pass2_887	source_url
arxiv	arxiv_011729a53371.pdf	2876369	bc4e9cace014b38f043f2fd60ae9f0ed50793cc07cdd35d9e4dce427f6b7a631	yes	yes	
arxiv	arxiv_03cf8c21cd75.pdf	6052329	72e7c40af775b2678cd9928837b0df470132224b6403487207b126866f76f0c7	yes	yes	
arxiv	arxiv_0424337c223e.pdf	881311	1810019c20d82afa600fbb0f71afd6322b86f668dce8dce49c3edbdd58d629ac	yes	yes	
arxiv	arxiv_05250c71b506.pdf	440268	bdbd0a97d41d323bbfd21d395e8ba89d8e8ad09e3d2da9d1fe700771277cf0e9	yes	yes	
arxiv	arxiv_08a6fd85e30d.pdf	5188551	a987ce3b5ad54c9b8c25d1a4b67ba21459a00ab53b7ea5496cf1ae26a496cab0	yes	yes	
arxiv	arxiv_0904b297f7cc.pdf	1239968	a5c3d75d988e09f4d6ba99e6c77dbd50e61b526200a7d3ffd1b9e2f2e11ed5f4	yes	yes	
arxiv	arxiv_097927e7940f.pdf	1956822	542fe1c5b6d00a788721fbcd5e95f00b6314f5afe2dcc9de33893e177fc39a4d	yes	yes	
arxiv	arxiv_0fa957f003be.pdf	863060	f21b667f294063286b3f4e28601b7d12494ea725d10388f9210dc39756b2baa8	yes	yes	
arxiv	arxiv_0fdc85105c87.pdf	596129	378e72004783dc6cf27d1e762172e5d33b4f72abe6c92f47d0ec3d67ba87c927	yes	yes	
arxiv	arxiv_10d22720be85.pdf	295007	17228530426d4e3a81ef921ad786017c956ee776e8d78b503636e4ff8dd377a0	yes	yes	
arxiv	arxiv_111d97592c7e.pdf	1228201	34af1d1b1e97789e4f541e8a0a6c9a0ca887db70fae374899a2298511caebdb5	yes	yes	
arxiv	arxiv_125447bb7720.pdf	7817878	f6b08a0e843eccb0e7c6b26b23ba8340c1b05695da6301f1c20ba47ccf6065a5	yes	yes	
arxiv	arxiv_127f3ae1e2fa.pdf	8221507	72a3bd92b63505daf1bd1edbbd934b5aea9f740fedee9852cc96f1a68848d4ee	yes	yes	
arxiv	arxiv_14055308f02d.pdf	283057	0ab5cac9b6c4f3491736702ebb2500b148cc7aa036769572cda7e838a341e155	yes	yes	
arxiv	arxiv_15fc5c4dc663.pdf	363269	1ceef2b47efc66235d08f814a56b7006b21d3948423c2432f5f91841c16535b8	yes	yes	
arxiv	arxiv_1672ec3eb878.pdf	295485	55b2b782ddd3f13e704b80ba918f8643b08cdb5024337ed95325e4038fcc0cab	yes	yes	
arxiv	arxiv_1f96b3ca2a15.pdf	373592	5dd866bba63258d090316831f7dad914df3760d96f0fc4c151561d26daed0f17	yes	yes	
arxiv	arxiv_1f9741f526f2.pdf	672666	eac449072f4af6243bacd9e7041d8d423f914bb8233e1e0391b68cb2c3f451cd	yes	yes	
arxiv	arxiv_2481c4292beb.pdf	1256446	4d6aa5acecca0639b0918c4fe66b71a2b594765abbd49080d8abd3f7ebcfbf00	yes	yes	
arxiv	arxiv_2544c957c824.pdf	864340	1191186b0c8757727f48cd64815bf0489ca98c13f4f362e9f7465651ecb5dfd5	yes	yes	
